name,submitted_name,homepage_url,jurisdiction_type,state_iso,municipality,county_fips,county_name,lat,lng,defunct_year,airtable_uid
Clymer Borough Police Department - PA,Clymer Borough Police Department,,local,PA,Clymer,42063,['Indiana'],,,,rec004VuNIxFnbIHj
California Department of Insurance - Investigations Division - CA,California Department of Insurance - Investigations Division,http://www.insurance.ca.gov/0300-fraud/0200-invest-division-overview/,local,CA,,,,,,,rec00J9IdWRry9LHC
Custer County Sheriff's Office - MT,Custer County Sheriff's Office,https://custercountymt.com/emergency-enforcement/sheriff,county,MT,Miles City,30017,['Custer'],46.407623,-105.84503,,rec00RgFAPxV31kPC
Knightsville Police Department - IN,Knightsville Police Department,,local,IN,Brazil,18021,['Clay'],39.52299,-87.12565,,rec00hvYkMJzEja7y
Big Fork City Police Department - MN,Big Fork City Police Department,,local,MN,Bigfork,27061,['Itasca'],47.74444,-93.65389,,rec00mkGrVHLIyJmh
Hodgenville Police Department - KY,Hodgenville Police Department,https://hodgenvillepd.com/,local,KY,Hodgenville,21123,['Larue'],37.57249,-85.74109,,rec00swjJqZ681lDy
Mississippi State University Campus Police Department - MS,Mississippi State University Campus Police Department,,school,MS,Mississippi State,28105,['Oktibbeha'],,,,rec01E6uzi3c1XZZw
Hillsboro Police Department - TX,Hillsboro Police Department,https://www.hillsborotx.org/departments/Police,local,TX,Hillsboro,48217,['Hill'],32.01613,-97.1304,,rec01HSI7tg5o2T38
Valley Police Department - AL,Valley Police Department,,local,AL,Valley,01017,['Chambers'],32.8173,-85.17449,,rec01Vd4MkR4lVh65
North Ogden Police Department - UT,North Ogden Police Department,https://www.northogdencity.com/police,local,UT,Ogden,49057,['Weber'],41.305107,-111.96483,,rec01Vz4EUskFZXTd
Wayne Community College Campus Police – Goldsboro - NC,Wayne Community College Campus Police – Goldsboro,https://www.waynecc.edu/safe-wayne/campus-police/,school,NC,Goldsboro,,,,,,rec01jnUXOfeT4RKy
Holly Springs Police Department - GA,Holly Springs Police Department,https://hollyspringsga.us/departments/police/index.php,local,GA,Canton,13057,['Cherokee'],34.168484,-84.5044,,rec01vyAwywkHAILM
Greenfield Police Department - OK,Greenfield Police Department,https://ibegin.com/directory/us/oklahoma/watonga/greenfield-police-dept-205-n-burford-ave/,local,OK,Watonga,40011,['Blaine'],35.84602,-98.41093,,rec02BNvK1TgQcc4c
Chrisman Police Department - IL,Chrisman Police Department,https://www.countyoffice.org/chrisman-police-department-chrisman-il-def/,local,IL,Chrisman,17045,['Edgar'],39.804565,-87.68024,,rec02Fd8BTAIWsIFE
Cookeville Police Department - TN,Cookeville Police Department,,local,TN,Cookeville,47141,['Putnam'],36.16382,-85.50528,,rec02M14eqqoXNkcP
Ellsworth Police Department - MI,Ellsworth Police Department,http://villageofellsworthmi.com/ellsworth-police-department/,local,MI,Ellsworth,26009,['Antrim'],45.16565,-85.24567,,rec02THK5STDVKeJL
Duke Power Company Police - Huntersville - NC,Duke Power Company Police - Huntersville,,local,NC,Huntersville,37119,['Mecklenburg'],35.397816,-80.866905,,rec02U33vCRmx8FqW
Los Angeles World Airports Police - CA,Los Angeles World Airports Police,,local,CA,Los Angeles,06037,['Los Angeles'],,,,rec02Wxhtb7Bflhqb
Ridge Farm Police Department - IL,Ridge Farm Police Department,https://www.ridgefarmillinois.com/police-department,local,IL,Grand Ridge,17099,['LaSalle'],41.23706,-88.83254,,rec02jrlkWGAgvNji
Hydro Police Department - OK,Hydro Police Department,https://www.koco.com/article/osbi-arrests-hydro-assistant-police-chief-on-child-sexual-exploitation-charges/35363294,local,OK,Hydro,40015,['Caddo'],35.548573,-98.57732,,rec02mSJb75St9tIO
Hanover Park Police Department - IL,Hanover Park Police Department,https://www.hpil.org/178/Police,local,IL,Hanover Park,17031,['Cook'],41.989403,-88.1562,,rec02qBBvv2ky9hpe
Colorado Department of Corrections - CO,Colorado Department of Corrections,https://cdoc.colorado.gov/,local,CO,Grand Junction,08077,['Mesa'],39.093414,-108.58689,,rec034agHb66vYkvd
California Department of Developmental Services - Developmental Center Police Officers - CA,California Department of Developmental Services - Developmental Center Police Officers,https://www.dds.ca.gov/services/state-facilities/ops/,local,CA,Sacramento,06067,['Sacramento'],38.573395,-121.49883,,rec0468Jrbd9E2C31
Corpus Christi Independent School District Police - TX,Corpus Christi Independent School District Police,https://www.ccisd.us/Departments/CCISDPoliceDepartment,school,TX,,,,,,,rec048F1iIuOmsK7s
Manly Police Department - IA,Manly Police Department,https://www.facebook.com/ManlyPD,local,IA,Manly,19195,['Worth'],43.28607,-93.20076,,rec04FKEhki2iVFBx
United States Probation Service (USPO) - DC,United States Probation Service (USPO),https://www.uscourts.gov/services-forms/probation-and-pretrial-services,state,DC,Washington,,,,,,rec04FQlkcnjYPlj1
Holmes County Sheriffs Department - FL,Holmes County Sheriffs Department,,county,FL,Bonifay,12059,['Holmes'],,,,rec04UHfbQbx0xiST
Capital Regional Airport Authority Police Department - MI,Capital Regional Airport Authority Police Department,https://www.lansingmi.gov/398/Police-Department,local,MI,Lansing,26037,['Clinton'],42.77496,-84.58894,,rec04bDiq9KIcCz9M
Wyoming Police Department - DE,Wyoming Police Department,https://wyoming.delaware.gov/police-department/,local,DE,Camden Wyoming,10001,['Kent'],39.118916,-75.5591,,rec04ignRHr3po0Rx
Spokane Valley Police Department - WA,Spokane Valley Police Department,https://www.spokanevalley.org/Police,local,WA,Tenino,53063,['Spokane'],46.852444,-122.85967,,rec04qfR54PMnV5m5
Blackville Police Department - SC,Blackville Police Department,,local,SC,Blackville,45011,['Barnwell'],,,,rec04ubOtow5FsOCy
De Witt County Sheriff's Office - TX,De Witt County Sheriff's Office,https://dewittsheriff.org/,county,TX,Cuero,48123,['DeWitt'],29.092546,-97.2883,,rec04xNujeC6esTyB
Oxford Police Department - GA,Oxford Police Department,https://oxfordgeorgia.org/PoliceDepartment.aspx,local,GA,Oxford,13217,['Newton'],33.6238,-83.86825,,rec04xfAZtgG3A08n
Shepherdstown Police Department - WV,Shepherdstown Police Department,http://www.shepherdstown.us/departments/police-department/,local,WV,Shepherdstown,54037,['Jefferson'],39.431435,-77.80568,,rec05OfxmuKNhkYxI
Rio Hondo Police Department - TX,Rio Hondo Police Department,https://riohondo.us/public-safety,local,TX,Rio Hondo,48061,['Cameron'],26.23642,-97.58393,,rec05aKnzdM89QpKs
Aurora Police Department - NE,Aurora Police Department,http://www.aurorapolice.net/,local,NE,Aurora,31081,['Hamilton'],40.865566,-98.00117,,rec05sCGZStGglhCj
Denmark Township Police Department - MI,Denmark Township Police Department,,local,MI,Reese,26157,['Tuscola'],43.40889,-83.67534,,rec0665mqz7Cpy4XP
Texas Christian University Police Department - TX,Texas Christian University Police Department,https://police.tcu.edu/,school,TX,Fort Worth,48439,['Tarrant'],32.70685,-97.35638,,rec06BCoIgT9sTSbM
Wilkins Police Department - PA,Wilkins Police Department,,local,PA,Turtle Creek,42003,['Allegheny'],40.41955,-79.82884,,rec06BpXa20oqreVQ
Volunteer State Community College Police - TN,Volunteer State Community College Police,,school,TN,Gallatin,47165,['Sumner'],,,,rec06IyPJh62FgW99
Downey Police Department - CA,Downey Police Department,https://locator.lacounty.gov/lac/Location/3177900/city-of-downey-police-department,local,CA,Downey,06037,['Los Angeles'],33.940983,-118.128426,,rec06Jpwi8r16fvOS
Woodstock Police Department - GA,Woodstock Police Department,https://www.woodstockga.gov/your_government/departments/police_department/index.php,local,GA,Woodstock,13057,['Cherokee'],34.08799,-84.480865,,rec06MBxtHi0v2wGW
Sinton Police Department - TX,Sinton Police Department,http://sintontexas.org/2185/Sinton-Police-Department,local,TX,Sinton,48409,['San Patricio'],28.03811,-97.50848,,rec06OsIjdrPTTfDM
Rupert Police Department - ID,Rupert Police Department,http://rupertcity.squarehook.com/police-department,local,ID,Rupert,16067,['Minidoka'],42.618073,-113.676186,,rec06UeSw1W7RzWXg
Lowell Police Department - NC,Lowell Police Department,https://www.lowellnc.com/160/Police-Department,local,NC,Lowell,37071,['Gaston'],35.26632,-81.101166,,rec06Y3pT67U3xmDW
Johnstown Police Department - NY,Johnstown Police Department,https://cityofjohnstown.ny.gov/police.html,local,NY,Johnstown,36035,['Fulton'],43.006714,-74.36988,,rec06hXTgIVAM4gn0
Sacramento County Sheriff - Brannan Island Service Center - CA,Sacramento County Sheriff - Brannan Island Service Center,,county,CA,Isleton,06067,['Sacramento'],38.10159,-121.56745,,rec06iyKaBJKTBLHu
Indian Harbour Police Department - FL,Indian Harbour Police Department,indianharbourbeach.org/ihbpd,local,FL,Satellite Beach,12009,['Brevard'],28.14593,-80.59794,,rec06wVkXmSaebZi2
Lauderdale County Sheriff's Office - MS,Lauderdale County Sheriff's Office,http://lauderdaleso.org/,county,MS,Meridian,28075,['Lauderdale'],32.364826,-88.69818,,rec075HFu3V6XgsWX
Fairfield Police Department - MT,Fairfield Police Department,https://fpdct.com/,local,MT,Fairfield,30099,['Teton'],47.61523,-111.97806,,rec07LXyUQMIpIPpq
Scotland Neck Police Department - NC,Scotland Neck Police Department,https://www.townofscotlandneck.com/local/scotland-neck-police-department.html,local,NC,Scotland Neck,37083,['Halifax'],36.12988,-77.42176,,rec07Lu2vyMOIBPXk
Coffeeville Police Department - MS,Coffeeville Police Department,https://www.facebook.com/Coffeeville-Police-Department-107423548050432/,local,MS,Coffeeville,28161,['Yalobusha'],33.97462,-89.67234,,rec07jDj3Pk1nbBKG
Stephens County Sheriff's Office - OK,Stephens County Sheriff's Office,https://www.facebook.com/Stephens-County-Sheriffs-Office-128658670513114/,county,OK,Duncan,40137,['Stephens'],34.500607,-97.96201,,rec07wTTlom3ZWsZQ
Farmville Police Department - NC,Farmville Police Department,http://farmvillenc.gov/departments/police/,local,NC,Farmville,37147,['Pitt'],35.60311,-77.57798,,rec07z4MQpTYNy1Yg
Oregon Police Department - MO,Oregon Police Department,https://www.cityoforegon.info/police-department,local,MO,Oregon,29087,['Holt'],39.9864,-95.14312,,rec0863ixKHQ9Ytw9
Passaic County Prosecutor's Chief - NJ,Passaic County Prosecutor's Chief,,county,NJ,Paterson,34031,['Passaic'],,,,rec088j1fAW4nrSNP
Miller Police Department - SD,Miller Police Department,https://www.cityofmiller.com/169/Police-Department,local,SD,Miller,46059,['Hand'],44.516857,-98.98975,,rec08REuRIIokMbZB
Lake Winnebago Police Department - MO,Lake Winnebago Police Department,https://cityoflakewinnebago.com/departments/police-department/,local,MO,Greenwood,29037,['Cass'],38.834396,-94.37505,,rec08Ya88uB3Zuh7C
Ohio Department of Youth Services - OH,Ohio Department of Youth Services,https://ohio.gov/wps/portal/gov/site/government/state-agencies/department-of-youth-services,local,OH,,,,,,,rec08iNwNdNcMtCte
Salem (city) Sheriff's Office - VA,Salem (city) Sheriff's Office,,local,VA,Salem,51775,['Salem'],,,,rec08mIzCJfq0cPrE
Police Department Community Relation - CA,Police Department Community Relation,,local,CA,San Diego,06073,['San Diego'],32.80121,-117.22928,,rec08t4zpDMe0bvKb
Fulton County Police Department - GA,Fulton County Police Department,https://www.fultoncountyga.gov/inside-fulton-county/fulton-county-departments/police,county,GA,Atlanta,13121,['Fulton'],33.60453,-84.47248,,rec08xX2hoq6hHf7v
Hocking College Police Department - OH,Hocking College Police Department,,school,OH,Nelsonville,39009,['Athens'],,,,rec08yrwtPEtQgNuS
Quitman Police Department - AR,Quitman Police Department,,local,AR,Quitman,05023,['Cleburne'],35.382416,-92.21725,,rec097b20HQ3FMB12
Groton Police Department - NY,Groton Police Department,https://www.grotonny.org/police,local,NY,Groton,36109,['Tompkins'],42.590527,-76.367165,,rec09HmxmeSSAGsfE
Commonwealth of Massachusetts Law Enforcement Council “COMMLEC” - MA,Commonwealth of Massachusetts Law Enforcement Council “COMMLEC”,,local,MA,,,,,,,rec09N8f9CxYD2yoz
Penn Township Police Department - PA,Penn Township Police Department,https://penntwp.org/police/,local,PA,Hanover,42133,['York'],39.794117,-76.96885,,rec09Rln4dldMggcA
Orange County Sheriff's Department - CA,Orange County Sheriff's Department,https://ocsheriff.gov/,county,CA,Laguna Hills,06059,['Orange'],33.61305,-117.71169,,rec09YG8Yf4u2CrlK
Valley City Police Department - ND,Valley City Police Department,http://www.valleycity.us/police_department/index.php,local,ND,Valley City,38003,['Barnes'],46.924644,-98.001175,,rec09lnCKMQj3QTwi
Verona Police Department - WI,Verona Police Department,https://www.veronapolice.org/,local,WI,Verona,55025,['Dane'],42.989906,-89.52743,,rec09sXzN4iIacEPT
Bells Police Department - TX,Bells Police Department,http://www.cityofbells.org/police-department,local,TX,Bells,48181,['Grayson'],33.60807,-96.40926,,rec09uR50l9Q1CEXA
Arizona Department of Liquor Licenses And Control - AZ,Arizona Department of Liquor Licenses And Control,,local,AZ,Phoenix,04013,['Maricopa'],,,,rec09vlqk5HsexIPP
Denver Police Department - CO,Denver Police Department,https://www.denvergov.org/content/denvergov/en/police-department.html,local,CO,Denver,,,36.586388,-79.39192,,rec09zJG7sRXlxNva
Albany Police Department - OH,Albany Police Department,https://newalbanyohio.org/answers/police/,local,OH,New Albany,39049,['Franklin'],40.08031,-82.809555,,rec0A0yYI1XwqZowd
Panora Police Department - IA,Panora Police Department,,local,IA,Panora,19077,['Guthrie'],,,,rec0A3EAucKfvvKud
Moniteau County Sheriff's Office - MO,Moniteau County Sheriff's Office,https://moniteaucountysheriffsoffice.com/,county,MO,California,29135,['Moniteau'],38.633556,-92.56521,,rec0AKPzzHGR9cZsq
Romulus Police Department - MI,Romulus Police Department,http://www.romulusgov.com/departments/public_safety/police/index.php,local,MI,Romulus,26163,['Wayne'],42.22086,-83.39839,,rec0AXeBWxRjld0w8
Berwick Police Department - ME,Berwick Police Department,https://www.berwickpd.org/,local,ME,Berwick,23031,['York'],43.269657,-70.8619,,rec0AaU8xCAiHNyjI
Chama Police Department - NM,Chama Police Department,https://chamavillage.com/services.html,local,NM,Chama,,,,,,rec0B80rklcYVmfux
Atlanta Police Department - TX,Atlanta Police Department,http://www.atlantatexas.org/services/police-department.html,local,TX,Atlanta,48067,['Cass'],33.11918,-94.1661,,rec0BKDTMbD89B3iq
Eufaula Police Department - AL,Eufaula Police Department,https://www.eufaulaalabama.com/181/Police-Department,local,AL,Eufaula,01005,['Barbour'],31.778265,-85.30327,,rec0BoiMriEAZYrSU
Traverse County Sheriffs Office - Browns Valley - MN,Traverse County Sheriffs Office - Browns Valley,https://www.co.traverse.mn.us/departments/departments/sheriff/,county,MN,Browns Valley,27155,['Traverse'],45.59463,-96.83278,,rec0C4SrPvClVKGo5
Williamstown Police Department - MA,Williamstown Police Department,https://www.facebook.com/Williamstown-Police-Department-Massachusetts-1472900436339596/,local,MA,Williamstown,25003,['Berkshire'],42.73464,-73.20658,,rec0CY3NuqYnTyv3D
Talty Police Department - TX,Talty Police Department,http://www.taltytexas.com/page/departments,local,TX,Harrisville,54085,['Ritchie'],39.21457,-81.04119,,rec0Cgyf3oYnQKpHV
Aquilla Village Police Department - OH,Aquilla Village Police Department,https://www.chardon.cc/142/Police-Department,local,OH,Chardon,39055,['Geauga'],41.54674,-81.17801,,rec0DcjLpAZKEptSR
Colbert County Sheriff's Office - AL,Colbert County Sheriff's Office,https://www.facebook.com/ColbertSheriffOffice,county,AL,Tuscumbia,01033,['Colbert'],34.73392,-87.70426,,rec0DhxDktP4264aQ
Harris County Constable Precinct 8 - TX,Harris County Constable Precinct 8,https://constable8.harriscountytx.gov/,county,TX,Houston,48201,['Harris'],29.55842,-95.12029,,rec0DsQk9WtHfCZ3Q
Swea City Police Department - IA,Swea City Police Department,,local,IA,Swea City,19109,['Kossuth'],43.38357,-94.30913,,rec0DzK9k8sEHUUeL
Adair County Constable District 3 - KY,Adair County Constable District 3,https://adaircounty.ky.gov/elected-officials/Pages/Constables.aspx,county,KY,,,,,,,rec0E7vjQoPauJf2b
East Whiteland Township Police Department - PA,East Whiteland Township Police Department,http://www.eastwhiteland.org/196/Police-Department,local,PA,Malvern,42029,['Chester'],40.048897,-75.55794,,rec0EHn9bcBvc4qu8
Munhall Borough Police Department - PA,Munhall Borough Police Department,,local,PA,Homestead,42003,['Allegheny'],,,,rec0EPwFkb5A2nnKS
Posey County Prosecutor's Office - IN,Posey County Prosecutor's Office,https://www.poseycountyin.gov/county-offices/prosecutors-office/,county,IN,Mount Vernon,18129,['Posey'],37.932323,-87.89398,,rec0ESjsfqYQ8eeWd
Waterloo Police Department - AL,Waterloo Police Department,https://waterloopolice.com/index.php?option=com_content&view=article&id=189&Itemid=151,local,AL,Waterloo,01077,['Lauderdale'],34.91233,-88.06374,,rec0EUuGeXgglSVF1
United States Park Police - VA,United States Park Police,https://www.nps.gov/subjects/uspp/index.htm,state,VA,,,,,,,rec0EcFNwltLBmjPp
Zapata County Independent School District Police - TX,Zapata County Independent School District Police,https://www.zcisd.org/apps/pages/index.jsp?uREC_ID=364688&type=d,county,TX,,,,,,,rec0EcWaPgqJHRP4z
Wisconsin State Capitol Police - WI,Wisconsin State Capitol Police,,state,WI,Madison,55025,['Dane'],,,,rec0Ed91MABxhRDws
Westfield Borough Police Department - PA,Westfield Borough Police Department,https://westfieldborough.org/police-department/,local,PA,Westfield,42117,['Tioga'],41.921875,-77.53283,,rec0EfvJszPM3LC13
Oak Island Police Department - NC,Oak Island Police Department,https://www.facebook.com/OakIslandPD/,local,NC,Oak Island,37019,['Brunswick'],33.91287,-78.11611,,rec0ErTo0zZfPMSIE
Bibb County Board of Education Campus Police - GA,Bibb County Board of Education Campus Police,,school,GA,Macon,13021,['Bibb'],,,,rec0EwLbt7M6s1vM5
Utah Attorney General and Assistant Attorneys General - UT,Utah Attorney General and Assistant Attorneys General,https://attorneygeneral.utah.gov/about/dept/,local,UT,Slc,,,,,,rec0Ewoc9WbZxjTcM
Raritan Township Police Department - NJ,Raritan Township Police Department,http://raritantownshippolice.com/,local,NJ,Flemington,34019,['Hunterdon'],40.50325,-74.87326,,rec0FHEDvmYHDid09
Crisp County Sheriff's Department - GA,Crisp County Sheriff's Department,https://crispcountysheriff.com/,county,GA,Cordele,13081,['Crisp'],31.92451,-83.77837,,rec0FPzc4CLl1k0pT
Baldwin County Sheriff's Corrections Center - AL,Baldwin County Sheriff's Corrections Center,http://sheriff.baldwincountyal.gov/divisions-details/correctionsdetails,county,AL,Bay Minette,01003,['Baldwin'],30.88488,-87.77472,,rec0Fbc5vbwj3VUlB
Polk County Sheriff's Office - MN,Polk County Sheriff's Office,https://www.co.polk.mn.us/221/Sheriffs-Office,county,MN,Winter Haven,12105,['Polk'],28.016634,-81.81172,,rec0FkG4lUiToxgRj
Guilford Technical Community College Campus Police - Jamestown - NC,Guilford Technical Community College Campus Police - Jamestown,https://www.gtcc.edu/student-life/campus-safety-and-police/index.php,school,NC,,,,,,,rec0FymkutR6NKenY
Webster County Sheriff's Department - WV,Webster County Sheriff's Department,https://webstercounty.wv.gov/countygovernmentagencies/Pages/sheriff.aspx,county,WV,Webster Springs,54101,['Webster'],38.47815,-80.41192,,rec0G6Pxrhc7gAwvd
Lidgerwood Police Department - ND,Lidgerwood Police Department,,local,ND,Lidgerwood,38077,['Richland'],46.0756,-97.15166,,rec0G7DFbuXjFXUUj
Arizona Highway Patrol (DPS) - AZ,Arizona Highway Patrol (DPS),https://www.azdps.gov/organization/HPD,local,AZ,,,,,,,rec0GOfLbHqYDZsnG
St Johns Police Department - AZ,St Johns Police Department,https://www.sjaz.us/police/,local,AZ,Saint Johns,04001,['Apache'],34.50621,-109.38248,,rec0GWSnbdTnQrOW4
Bel Air Police Department - MD,Bel Air Police Department,https://www.belairmd.org/175/Police,local,MD,Bel Air,24025,['Harford'],39.5388,-76.34813,,rec0GwguwiHxj6UeV
Clark County Sheriff's Office - SD,Clark County Sheriff's Office,https://clark.sdcounties.org/sheriff/,county,SD,Clark,46025,['Clark'],44.879242,-97.73379,,rec0H3ya1E6JjhW2V
Lower Saucon Township Police Department - PA,Lower Saucon Township Police Department,http://www.lowersaucontownship.org/policeov.html,local,PA,Bethlehem,42095,['Northampton'],40.58628,-75.38897,,rec0HRlsDUT5BCNje
Kent State University Police - Kent State University - OH,Kent State University Police - Kent State University,https://www.kent.edu/publicsafety/police-services,state,OH,Kent,39133,['Portage'],41.150463,-81.349976,,rec0Hk9zBN2ZDIK4b
Ector County Independent School District Police - TX,Ector County Independent School District Police,https://www.ectorcountyisd.org/domain/145,county,TX,,,,,,,rec0HmQ2UtFYGIh1G
Caernarvon Township Police - PA,Caernarvon Township Police,http://www.caernarvon.org/emergency/police.html,local,PA,Morgantown,42011,['Berks'],40.15629,-75.88692,,rec0HmxXhv3OgLvsB
Dallas/Fort Worth International Airport D.P.S. - TX,Dallas/Fort Worth International Airport D.P.S.,,local,TX,D/Fw Airport,48113,['Dallas'],,,,rec0HtoCV6Xqo5fHC
Henning Police Department - TN,Henning Police Department,,local,TN,Henning,47097,['Lauderdale'],35.67265,-89.57348,,rec0HyHHzAihTPDm2
White Police Department - GA,White Police Department,http://www.wppublicsafety.com/,local,GA,White,13015,['Bartow'],34.28206,-84.74494,,rec0I75fCqydsQeZc
Bethel Park Police Department - PA,Bethel Park Police Department,https://bethelpark.net/departments/police/,local,PA,Bethel Park,42003,['Allegheny'],40.3325,-80.03151,,rec0IICQVOpEzNb1m
Bedford County Sheriff's Office - PA,Bedford County Sheriff's Office,http://bedfordcountysheriff.org/,county,PA,Bedford,42009,['Bedford'],40.01698,-78.50422,,rec0IUNOG9m33QvGR
Campbellsville Police Department - KY,Campbellsville Police Department,,local,KY,Campbellsville,21217,['Taylor'],,,,rec0IgTBAGrmMaDv1
Berlin Police Department - CT,Berlin Police Department,https://www.town.berlin.ct.us/police/,local,CT,Berlin,09003,['Hartford'],41.626472,-72.77524,,rec0Is1fOzeRz1Qcl
Morley Police Department - MI,Morley Police Department,https://www.facebook.com/Morley-Village-Police-Department-362990107843133,local,MI,Morley,26107,['Mecosta'],43.48982,-85.44457,,rec0J5BazJVLRdnEK
Pioneer Police Department - OH,Pioneer Police Department,http://www.pioneerpolice.com/,local,OH,Pioneer,39171,['Williams'],41.67855,-84.55329,,rec0J5K3x8dkIKjPD
Frankton Police Department - IN,Frankton Police Department,https://www.facebook.com/franktonpolice/,local,IN,Frankton,18095,['Madison'],40.22326,-85.77979,,rec0J7iRhkz3SWBvp
Gila River Indian Community Police Department - AZ,Gila River Indian Community Police Department,http://www.gricsafety.org/gila-river-police-department,local,AZ,Sacaton,04021,['Pinal'],33.072403,-111.76648,,rec0J9qC1i1JVuNq4
Fulton County District Attorney's Office - NY,Fulton County District Attorney's Office,http://www.fultoncountyny.gov/district-attorneys-office,county,NY,Johnstown,,,,,,rec0JAHGB67X3yXxX
East Troy Town Police Department - WI,East Troy Town Police Department,http://townofeasttroy.com/police-department,local,WI,Mukwonago,55127,['Walworth'],42.82921,-88.35597,,rec0JB6Y2FksfZlIv
Clayton Police Department - NJ,Clayton Police Department,,local,NJ,Clayton,34015,['Gloucester'],39.65683,-75.09094,,rec0JGqsgT0OgrLjJ
Clinton County Sheriff's Office - MO,Clinton County Sheriff's Office,http://sheriff.clintoncomo.org/,county,MO,Plattsburg,29049,['Clinton'],39.566025,-94.44658,,rec0JktNjtjnI5OTU
Crowley Police Department - LA,Crowley Police Department,http://crowleypolice.com/,local,LA,Crowley,22001,['Acadia'],30.212933,-92.37386,,rec0JntaRlB2whsas
Minden Police Department - NE,Minden Police Department,http://mindennebraska.org/178/Police,local,NE,Minden,31099,['Kearney'],40.4973,-98.948906,,rec0JuKSXMLBYlZQX
Prestonsburg Police Department - KY,Prestonsburg Police Department,,local,KY,Prestonsburg,21071,['Floyd'],,,,rec0JuKTGImsqGFoa
Bruceville-Eddy Police Department - TX,Bruceville-Eddy Police Department,,local,TX,Eddy,48309,['McLennan'],,,,rec0JvMkxq1soXV3u
Lansing Police Department - IL,Lansing Police Department,http://www.villageoflansing.org/village_departments/police_department.php,local,IL,East Lansing,26065,['Ingham'],42.736874,-84.48301,,rec0K1am2hgdgzVEo
Waterville Police Department - KS,Waterville Police Department,http://cityofwatervilleks.org/The-City/Police,local,KS,Waterville,20117,['Marshall'],39.69279,-96.74879,,rec0K4xTYahb55xQ0
Anadarko Police Department - OK,Anadarko Police Department,http://www.cityofanadarko.org/departments/police/index.php,local,OK,Anadarko,40015,['Caddo'],35.07649,-98.24346,,rec0K5IhSUWJVUoWS
Pittsfield Township Police Department - MI,Pittsfield Township Police Department,https://www.pittsfield-mi.gov/310/Police-Department,local,MI,Saline,26161,['Washtenaw'],42.197163,-83.70316,,rec0KAX3hcRuYg324
Northport Police Department - NY,Northport Police Department,https://www.northportvillagepolice.com/,local,NY,Northport,36103,['Suffolk'],40.900555,-73.347466,,rec0KFglJ7uxvoUC8
Pollock Police Department - LA,Pollock Police Department,https://www.pollockla.us/police,local,LA,Pollock,22043,['Grant'],31.525295,-92.40635,,rec0KIWcw1IOUcdcf
Elk Grove School District Police Department - CA,Elk Grove School District Police Department,http://elkgrovepd.org/,school,CA,Galt,06067,['Sacramento'],38.2638,-121.30546,,rec0KNX3xhKbBIWDY
Soldotna Police Department - AK,Soldotna Police Department,http://soldotna.org/departments/police,local,AK,Soldotna,02122,['Kenai Peninsula'],60.482418,-151.07321,,rec0KNo5eJUPvR31V
Jordan Police Department - MN,Jordan Police Department,http://jordanmn.gov/city-departments/jordan-police-department/,local,MN,Jordan,27139,['Scott'],44.6732,-93.63274,,rec0Ksus6Go41kPhT
Hatboro Police Department - PA,Hatboro Police Department,https://myhatboro.org/police-department/,local,PA,Hatboro,42091,['Montgomery'],40.177994,-75.10203,,rec0Ky0h40y3N8bkB
Oregon Police Department - WI,Oregon Police Department,www.vil.oregon.wi.us/police,local,WI,Oregon,55025,['Dane'],42.92491,-89.37753,,rec0L5BZHnXZ8cM81
Jefferson Police Department - SD,Jefferson Police Department,https://www.facebook.com/Jefferson-South-Dakota-Police-Department-870179899724817,local,SD,Jefferson,46127,['Union'],42.60236,-96.55844,,rec0LeOPiIXVNyYro
Rifle Police Department - CO,Rifle Police Department,https://www.rifleco.org/17/Police-Department,local,CO,Rifle,08045,['Garfield'],39.54552,-107.781395,,rec0Len0ZQPtVpo3s
Boyd Police Department - WI,Boyd Police Department,https://www.facebook.com/BoydPoliceDepartment,local,WI,Boyd,55017,['Chippewa'],44.95131,-91.03688,,rec0Luz8XawsbDrn3
Brick Township Police Department - NJ,Brick Township Police Department,http://www.brickpd.com/,local,NJ,Brick,34029,['Ocean'],40.07549,-74.15235,,rec0MHRd9BwNyKOxC
Harrisville Police Department - NH,Harrisville Police Department,https://www.cityofharrisville.com/police-department,local,NH,Harrisville,33005,['Cheshire'],42.94477,-72.09359,,rec0MIpOR1HVpGhRk
Brookhaven Borough Police Department - PA,Brookhaven Borough Police Department,https://brookhavenboro.com/departments/police-department/,local,PA,Brookhaven,42045,['Delaware'],39.876354,-75.392,,rec0MU6eavKZoWms3
Amboy Police Department - IL,Amboy Police Department,,local,IL,Amboy,17103,['Lee'],41.71369,-89.32951,,rec0MVDQn8RkFZ8X1
Pymatuning Township Police Department - PA,Pymatuning Township Police Department,,local,PA,Transfer,42085,['Mercer'],41.32972,-80.41535,,rec0MbKdiXeLAYIBG
Strong Police Department - AR,Strong Police Department,https://www.alpharetta.ga.us/government/departments/public-safety/police,local,AR,Wheatfield,18073,['Jasper'],41.191288,-87.05186,,rec0MrFoSvYyPsUow
Hillsboro Police Department - NH,Hillsboro Police Department,https://crimewatch.net/us/nh/hillsborough/hillsboro-pd,local,NH,Hillsborough,33011,['Hillsborough'],43.11247,-71.90971,,rec0NKEGw4DRUuMVG
Camden County Sheriff's Office - NC,Camden County Sheriff's Office,http://camdenncsheriff.com/,county,NC,Camden,37029,['Camden'],36.32982,-76.17463,,rec0NQSEz8Z4oAiXt
