name,submitted_name,homepage_url,jurisdiction_type,state_iso,municipality,county_fips,county_name,lat,lng,defunct_year,airtable_uid
Edwards County Sheriff's Office - IL,Edwards County Sheriff's Office,http://www.ecsheriff.org/,county,IL,Albion,17047,['Edwards'],38.37669,-88.05667,,rec91w7O0G9OY29YV
Payson Police Department - AZ,Payson Police Department,http://www.paysonpolice.com/,local,AZ,Payson,04007,['Gila'],34.24456,-111.32159,,rec921q5stEMTFnJn
Stilwell Police Department - OK,Stilwell Police Department,http://cityofstilwell.com/156/Police,local,OK,Stilwell,40001,['Adair'],35.813652,-94.62828,,rec92P0yvzriwNMx1
Mississippi Highway Safety Patrol - MS,Mississippi Highway Safety Patrol,,local,MS,Jackson,28049,['Hinds'],,,,rec92P6r9MOIEpDhk
Albany County Probation Department - NY,Albany County Probation Department,https://www.albanycounty.com/departments/probation,county,NY,,,,,,,rec92Pl0Ip9ylCPHE
Maple Park Police Department - IL,Maple Park Police Department,,local,IL,Maple Park,17089,['Kane'],,,,rec92pzuQmP37VRD4
Merigold Police Department - MS,Merigold Police Department,,local,MS,Merigold,28011,['Bolivar'],33.83834,-90.72584,,rec92wAvRiufKOZXI
Decatur Park District Police Department - IL,Decatur Park District Police Department,https://www.decatur-parks.org/park-police/,local,IL,Decatur,,,,,,rec930X9V44Y4Z9sV
Ferrysburg Police Department - MI,Ferrysburg Police Department,http://www.miottawa.org/sheriff/springlakevillage.htm,local,MI,Spring Lake,26139,['Ottawa'],43.076424,-86.196915,,rec937DzF8Hzmaca5
Prosperity Police Department - SC,Prosperity Police Department,https://www.prosperitysc.com/police-department,local,SC,Prosperity,45071,['Newberry'],34.21163,-81.53726,,rec93GyCGeaUyi7Oq
Volusia County Sheriff's Office - Aviation - FL,Volusia County Sheriff's Office - Aviation,,county,FL,Daytona Beach,12127,['Volusia'],29.1891,-81.05756,,rec93jk0fRdopDa3A
Howell Police Department - MI,Howell Police Department,https://www.cityofhowell.org/city_departments/howell_police_department/index.php,local,MI,Howell,26093,['Livingston'],42.6047,-83.92376,,rec93ocDlaZwPJMSb
Wayland Police Department - MI,Wayland Police Department,http://cityofwayland.org/government/public-safety/police-department,local,MI,Wayland,26005,['Allegan'],42.674076,-85.64473,,rec93seDsHfgwS43R
Orinda Police Department - CA,Orinda Police Department,http://cityoforinda.org/173/Police-Department,local,CA,Orinda,06013,['Contra Costa'],37.88215,-122.18618,,rec93ys0RGhleX2nt
City of Hagerstown Fire Department - Office of the Fire Marshal - MD,City of Hagerstown Fire Department - Office of the Fire Marshal,https://www.hagerstownmd.org/1078/Fire-Marshals-Office,local,MD,,,,,,,rec943Oet9t7OYl5e
Nash Community College Campus Police - Rocky Mount - NC,Nash Community College Campus Police - Rocky Mount,https://www.nashcc.edu/about/general-information/ncc-police-department,school,NC,,,,,,,rec945Uo3XfDAZRkr
Hawaii Department of Taxation Criminal Section - HI,Hawaii Department of Taxation Criminal Section,https://tax.hawaii.gov/geninfo/ses_overview/,local,HI,,,,,,,rec94CUV8ehW1cqnO
Rosebud Police Department - TX,Rosebud Police Department,http://www.rosebudtexas.us/index.php/departments/police-department,local,TX,Rosebud,48145,['Falls'],31.07358,-96.97794,,rec94Uxz6o0a46sAG
Village of Mukwonago Police Department - WI,Village of Mukwonago Police Department,https://villageofmukwonago.com/police-department/,local,WI,Mukwonago,55133,['Waukesha'],42.85809,-88.32985,,rec94fUOTnt3nN5wi
Georgia Military College Police Department. - GA,Georgia Military College Police Department.,,school,GA,Milledgeville,13009,['Baldwin'],,,,rec94zGpTwRg4bmJh
Hendersonville Police Department - NC,Hendersonville Police Department,https://www.hendersonvillenc.gov/police-department,local,NC,Hendersonville,37089,['Henderson'],35.3181,-82.45956,,rec953XIo07OMkzY4
Oakwood Hills Police Department - IL,Oakwood Hills Police Department,www.oakwoodhills.org/index.asp?sec=b9c68d0e-4f43-4dcb-ab0e-51a2658bf0a5,local,IL,Cary,17111,['McHenry'],42.253098,-88.2566,,rec95MVRfyKOcU7An
Acushnet Police Department - MA,Acushnet Police Department,https://www.acushnet.ma.us/police-department,local,MA,Acushnet,25005,['Bristol'],41.682625,-70.90957,,rec95XnEQuHDvN8rx
Morocco Police Department - IN,Morocco Police Department,https://www.interpol.int/en/Who-we-are/Member-countries/Africa/MOROCCO,local,IN,Morocco,18111,['Newton'],40.946766,-87.45364,,rec95nEH8yETFNQsL
West Carroll Parish Sheriff's Office - LA,West Carroll Parish Sheriff's Office,http://www.westcarrollsheriff.net/,local,LA,Lake Providence,22035,['East Carroll'],32.80377,-91.17332,,rec95sHyQhy5XjJpI
Leavenworth Police Department - IN,Leavenworth Police Department,http://www.leavenworthpolice.org/,local,IN,Leavenworth,20103,['Leavenworth'],39.314114,-94.910675,,rec95u6xK7MBYoocG
Atkinson County Sheriff's Office - GA,Atkinson County Sheriff's Office,http://atkinsonsheriff.org/,county,GA,Pearson,13003,['Atkinson'],31.295788,-82.85355,,rec96Bn0U4hd9jlgb
Metropolitan Police Department Patrol Services and School Security Bureau - DC,Metropolitan Police Department Patrol Services and School Security Bureau,https://mpdc.dc.gov/,school,DC,Washington,11001,['District of Columbia'],38.9401,-77.02353,,rec96I9I8c2ak534d
Austin Peay State University Police - TN,Austin Peay State University Police,,school,TN,Clarksville,47125,['Montgomery'],,,,rec96XIgmu0u9OGLB
Grandville Police Department - MI,Grandville Police Department,http://www.cityofgrandville.com/government/departments/police/index.php,local,MI,Grandville,26081,['Kent'],42.90687,-85.763695,,rec96Z74uHVb34Y6L
